file_path,line_number,match_context
"SERVER_STATUS.md",53,"- Verify no \""InvoiceShelf\"" remnants"
"database/migrations/2024_04_14_173940_replace_crater_type.php",14,"            DB::update(\""UPDATE media SET model_type = REPLACE(model_type\, 'Crater'\, 'InvoiceShelf')\"");"
"database/migrations/2024_04_14_173940_replace_crater_type.php",15,"            DB::update(\""UPDATE email_logs SET mailable_type = REPLACE(model_type\, 'Crater'\, 'InvoiceShelf')\"");"
"database/migrations/2024_04_14_173940_replace_crater_type.php",16,"            DB::update(\""UPDATE notifications SET notifiable_type = REPLACE(notifiable_type\, 'Crater'\, 'InvoiceShelf')\"");"
"database/migrations/2024_04_14_173940_replace_crater_type.php",17,"            DB::update(\""UPDATE personal_access_tokens SET tokenable_type = REPLACE(tokenable_type\, 'Crater'\, 'InvoiceShelf')\"");"
"database/migrations/2024_04_14_173940_replace_crater_type.php",18,"            DB::update(\""UPDATE custom_field_values SET custom_field_valuable_type = REPLACE(custom_field_valuable_type\, 'Crater'\, 'InvoiceShelf')\"");"
"database/migrations/2024_04_14_173940_replace_crater_type.php",29,"            DB::update(\""UPDATE media SET model_type = REPLACE(model_type\, 'InvoiceShelf'\, 'Crater')\"");"
"database/migrations/2024_04_14_173940_replace_crater_type.php",30,"            DB::update(\""UPDATE email_logs SET mailable_type = REPLACE(model_type\, 'InvoiceShelf'\, 'Crater')\"");"
"database/migrations/2024_04_14_173940_replace_crater_type.php",31,"            DB::update(\""UPDATE notifications SET notifiable_type = REPLACE(notifiable_type\, 'InvoiceShelf'\, 'Crater')\"");"
"database/migrations/2024_04_14_173940_replace_crater_type.php",32,"            DB::update(\""UPDATE personal_access_tokens SET tokenable_type = REPLACE(tokenable_type\, 'InvoiceShelf'\, 'Crater')\"");"
"database/migrations/2024_04_14_173940_replace_crater_type.php",33,"            DB::update(\""UPDATE custom_field_values SET custom_field_valuable_type = REPLACE(custom_field_valuable_type\, 'InvoiceShelf'\, 'Crater')\"");"
"database/migrations/2024_07_13_000001_update_stored_namespace.php",13,"        $this->replaceModelTypes('InvoiceShelf'\, 'App');"
"database/migrations/2024_07_13_000001_update_stored_namespace.php",22,"        $this->replaceModelTypes('App'\, 'InvoiceShelf');"
"database/migrations/2024_02_11_075831_update_version_110.php",16,"            DB::update(\""UPDATE abilities SET entity_type = REPLACE(entity_type\, 'Crater'\, 'InvoiceShelf')\"");"
"database/migrations/2024_02_11_075831_update_version_110.php",17,"            DB::update(\""UPDATE assigned_roles SET entity_type = REPLACE(entity_type\, 'Crater'\, 'InvoiceShelf')\"");"
"database/migrations/2024_02_11_075831_update_version_110.php",30,"            DB::update(\""UPDATE abilities SET entity_type = REPLACE(entity_type\, 'InvoiceShelf'\, 'Crater')\"");"
"database/migrations/2024_02_11_075831_update_version_110.php",31,"            DB::update(\""UPDATE assigned_roles SET entity_type = REPLACE(entity_type\, 'InvoiceShelf'\, 'Crater')\"");"
"AGENT_3_AUDIT_REPORT.md",370,"**Overall Assessment**: The InvoiceShelf application is ready for production deployment with full Macedonia business operation support. All critical business flows have been validated\, payment processing is stable\, and mobile functionality provides excellent user experience."
"ai-service/package.json",4,"  \""description\"": \""AI Financial Assistant with MCP support for InvoiceShelf Macedonia\""\,"
