Налог број:;;;;;;;1002;;;;;;;;;;;;;;;;;;
Датум:;;;;28.02.2026;;;;;;;;;;;;;;;;;;;;;
Опис:;;;;;;;;;;;;;;;;;;;;;;;;;
;Р.Бр.;;Број;;;Опис;;Сметка;;;Вид док.;;Партнер;;Должи;;;;Побарува;;Состојба;;;;Датум
;1;20260079;;;;;;2200;;Фактура;;ЗОТЕБРОС ДООЕЛ;;0;;;;13.900;;-13.900;;;;06.02.2026;
;2;;;;монитори;;;4475;;Фактура;;;;13.207;;;;0;;-693;;;;06.02.2026;
;3;;;;;;;130018;;Фактура;;;;46;;;;0;;-647;;;;06.02.2026;
;4;;;;;;;130005;;Фактура;;;;647;;;;0;;0;;;;06.02.2026;
;5;К2-0006/26;;;;;;2200;;Фактура;;ТРИМАКС ДОО;;0;;;;3.020;;-3.020;;;;23.02.2026;
;6;;;;;;;4010;;Фактура;;;;2.631;;;;0;;-389;;;;23.02.2026;
;7;;;;;;;130018;;Фактура;;;;356;;;;0;;-33;;;;23.02.2026;
;8;;;;;;;130005;;Фактура;;;;33;;;;0;;0;;;;23.02.2026;
;9;189/2026;;;;;;2200;;Фактура;;МР.БОЛТ ;;0;;;;2.537;;-2.537;;;;24.02.2026;
;10;;;;;;;4001;;Фактура;;;;2.150;;;;0;;-387;;;;24.02.2026;
;11;;;;;;;130018;;Фактура;;;;387;;;;0;;0;;;;24.02.2026;
;12;116/778/26;;;;;;2200;;Фактура;;ОРИОН АИМ ДОО;;0;;;;1.650;;-1.650;;;;25.02.2026;
;13;;;;;;;4170;;Фактура;;;;1.650;;;;0;;0;;;;25.02.2026;
;14;22/2026;;;;;;2200;;Фактура;;БАЛКАНСКИ ДООЕЛ;;0;;;;9.670;;-9.670;;;;28.02.2026;
;15;;;;;;;4440;;Фактура;;;;8.195;;;;0;;-1.475;;;;28.02.2026;
;16;;;;;;;130018;;Фактура;;;;1.475;;;;0;;0;;;;28.02.2026;
;17;16;;;;;;2200;;Фактура;;ТИМ ГРУП 2012 ДОО;;0;;;;16.017;;-16.017;;;;25.02.2026;
;18;;;;;;;4050;;Фактура;;;;13.574;;;;0;;-2.443;;;;25.02.2026;
;19;;;;;;;130018;;Фактура;;;;2.443;;;;0;;0;;;;25.02.2026;
;20;085183032026-5;;;;;;2200;;Фактура;;МАКЕДОНСКИ ТЕЛЕКОМ АД Скопје;;0;;;;7.960;;-7.960;;;;28.02.2026;
;21;;;;;;;4110;;Фактура;;;;6.262;;;;0;;-1.698;;;;28.02.2026;
;22;;;;;;;130018;;Фактура;;;;1.127;;;;0;;-571;;;;28.02.2026;
;23;;;;месечна рата за опрема ;;;4475;;Фактура;;;;509;;;;0;;-62;;;;28.02.2026;
;24;;;;;;;4680;;Фактура;;;;62;;;;0;;0;;;;28.02.2026;
;;;;;;;;;;;;;;;;;Должи:;;;;;54.754,00;;;
;;;;;;;;;;;;;;;;;Побарува:;;;;;54.754,00;;;
;;;;;;;;;;;;;;;;Салдо:;;;;;;0,00;;;
;;;;;;;;;ЕЛЕКТРО МЕ-НА ДООЕЛ, Ул.Благоја Стефковски бр. 111А, СКОПЈЕ-1000, MK4027011514030;;;;;;;;;;;;;;1/1;;
