Налог број:;;;;;;;7001;;;;;;;;;;;;;;;;;;
Датум:;;;;31.01.2026;;;;;;;;;;;;;;;;;;;;;
Опис:;;;;;;;;;;;;;;;;;;;;;;;;;
;Р.Бр.;;Број;;;Опис;;Сметка;;;Вид док.;;Партнер;;Должи;;;;Побарува;;Состојба;;;;Датум
;1;0348;;;СК-3811-БУ;;;1020;;сметка;;;;0;;;;3.424;;-3.424;;;;02.01.2026;
;2;;;;;;;4032;;сметка;;;;2.902;;;;0;;-522;;;;02.01.2026;
;3;;;;;;;130018;;сметка;;;;522;;;;0;;0;;;;02.01.2026;
;4;0071;;;;;;1020;;сметка;;;;0;;;;1.001;;-1.001;;;;09.01.2026;
;5;;;;;;;4032;;сметка;;;;848;;;;0;;-153;;;;09.01.2026;
;6;;;;;;;130018;;сметка;;;;153;;;;0;;0;;;;09.01.2026;
;7;0026;;;СК-8904-АФ;;;1020;;сметка;;;;0;;;;2.000;;-2.000;;;;12.01.2026;
;8;;;;;;;4032;;сметка;;;;1.695;;;;0;;-305;;;;12.01.2026;
;9;;;;;;;130018;;сметка;;;;305;;;;0;;0;;;;12.01.2026;
;10;0450;;;СК-0399-АО;;;1020;;сметка;;;;0;;;;1.000;;-1.000;;;;14.01.2026;
;11;;;;;;;4032;;сметка;;;;847;;;;0;;-153;;;;14.01.2026;
;12;;;;;;;130018;;сметка;;;;153;;;;0;;0;;;;14.01.2026;
;13;;;;;;;1020;;сметка;;;;0;;;;4.000;;-4.000;;;;15.01.2026;
;14;;;;;;;4032;;сметка;;;;3.390;;;;0;;-610;;;;15.01.2026;
;15;;;;;;;130018;;сметка;;;;610;;;;0;;0;;;;15.01.2026;
;16;0033;;;СК-2815-БК;;;1020;;сметка;;;;0;;;;1.500;;-1.500;;;;20.01.2026;
;17;;;;;;;4032;;сметка;;;;1.271;;;;0;;-229;;;;20.01.2026;
;18;;;;;;;130018;;сметка;;;;229;;;;0;;0;;;;20.01.2026;
;19;0033;;;СК-0399-АО;;;1020;;сметка;;;;0;;;;1.000;;-1.000;;;;20.01.2026;
;20;;;;;;;4032;;сметка;;;;847;;;;0;;-153;;;;20.01.2026;
;21;;;;;;;130018;;сметка;;;;153;;;;0;;0;;;;20.01.2026;
;22;0144;;;СК-8904-АФ;;;1020;;сметка;;;;0;;;;3.000;;-3.000;;;;20.01.2026;
;23;;;;;;;4032;;сметка;;;;2.542;;;;0;;-458;;;;20.01.2026;
;24;;;;;;;130018;;сметка;;;;458;;;;0;;0;;;;20.01.2026;
;25;0847;;;СК-7749-АК;;;1020;;сметка;;;;0;;;;2.800;;-2.800;;;;23.01.2026;
;26;;;;;;;4032;;сметка;;;;2.373;;;;0;;-427;;;;23.01.2026;
;27;;;;;;;130018;;сметка;;;;427;;;;0;;0;;;;23.01.2026;
;28;0749;;;СК-7749-АК;;;1020;;сметка;;;;0;;;;2.000;;-2.000;;;;27.01.2026;
;29;;;;;;;4032;;сметка;;;;1.695;;;;0;;-305;;;;27.01.2026;
;30;;;;;;;130018;;сметка;;;;305;;;;0;;0;;;;27.01.2026;
;31;0032;;;СК-3811-БУ;;;1020;;сметка;;;;0;;;;3.470;;-3.470;;;;27.01.2026;
;32;;;;;;;4032;;сметка;;;;2.941;;;;0;;-529;;;;27.01.2026;
;33;;;;;;;130018;;сметка;;;;529;;;;0;;0;;;;27.01.2026;
;34;0078;;;СК-0399-АО;;;1020;;сметка;;;;0;;;;1.000;;-1.000;;;;28.01.2026;
;35;;;;;;;4032;;сметка;;;;847;;;;0;;-153;;;;28.01.2026;
;36;;;;;;;130018;;сметка;;;;153;;;;0;;0;;;;28.01.2026;
;37;0019;;;СК-5517-АГ;;;1020;;сметка;;;;0;;;;2.000;;-2.000;;;;30.01.2026;
;38;;;;;;;4032;;сметка;;;;1.695;;;;0;;-305;;;;30.01.2026;
;39;;;;;;;130018;;сметка;;;;305;;;;0;;0;;;;30.01.2026;
;;;;;;;;;;;;;;;;;Должи:;;;;;28.195,00;;;
;;;;;;;;;;;;;;;;;Побарува:;;;;;28.195,00;;;
;;;;;;;;;;;;;;;;Салдо:;;;;;;0,00;;;
;;;;;;;;;ЕЛЕКТРО МЕ-НА ДООЕЛ, Ул.Благоја Стефковски бр. 111А, СКОПЈЕ-1000, MK4027011514030;;;;;;;;;;;;;;1/1;;
