2025-11-10T14:19:26.000000000Z [inf]  Starting Container
2025-11-10T14:19:27.141738571Z [inf]  === Application Startup ===
2025-11-10T14:19:27.141744081Z [inf]  Railway detected: Parsing MYSQL_URL...
2025-11-10T14:19:27.141749233Z [inf]  DB configured from MYSQL_URL
2025-11-10T14:19:27.141755594Z [inf]  Waiting for database at mysql-y5el.railway.internal:3306...
2025-11-10T14:19:27.141760827Z [inf]  Waiting for database... (1/30)
2025-11-10T14:19:28.413703929Z [inf]  Waiting for database... (2/30)
2025-11-10T14:19:31.090956780Z [inf]  Waiting for database... (3/30)
2025-11-10T14:19:33.193757718Z [inf]  Waiting for database... (4/30)
2025-11-10T14:19:35.108833742Z [inf]  Waiting for database... (5/30)
2025-11-10T14:19:37.184588260Z [inf]  Waiting for database... (6/30)
2025-11-10T14:19:39.258707115Z [inf]  Waiting for database... (7/30)
2025-11-10T14:19:41.427183940Z [inf]  Waiting for database... (8/30)
2025-11-10T14:19:44.275961422Z [inf]  Waiting for database... (9/30)
2025-11-10T14:19:46.083710377Z [inf]  Waiting for database... (10/30)
2025-11-10T14:19:48.207328406Z [inf]  Waiting for database... (11/30)
2025-11-10T14:19:50.104937703Z [inf]  Waiting for database... (12/30)
2025-11-10T14:19:52.392930994Z [inf]  Waiting for database... (13/30)
2025-11-10T14:19:54.440747049Z [inf]  Waiting for database... (14/30)
2025-11-10T14:19:57.161802539Z [inf]  Waiting for database... (15/30)
2025-11-10T14:19:59.129590301Z [inf]  Waiting for database... (16/30)
2025-11-10T14:20:01.204499801Z [inf]  Waiting for database... (17/30)
2025-11-10T14:20:03.266375257Z [inf]  Waiting for database... (18/30)
2025-11-10T14:20:05.289915785Z [inf]  Waiting for database... (19/30)
2025-11-10T14:20:07.467251649Z [inf]  Waiting for database... (20/30)
2025-11-10T14:20:10.333364799Z [inf]  Waiting for database... (21/30)
2025-11-10T14:20:12.268518846Z [inf]  Waiting for database... (22/30)
2025-11-10T14:20:14.347577665Z [inf]  Waiting for database... (23/30)
2025-11-10T14:20:16.434259682Z [inf]  Waiting for database... (24/30)
2025-11-10T14:20:18.316144962Z [inf]  Waiting for database... (25/30)
2025-11-10T14:20:20.482903141Z [inf]  Waiting for database... (26/30)
2025-11-10T14:20:22.663013644Z [inf]  Waiting for database... (27/30)
2025-11-10T14:20:25.251297226Z [inf]  Waiting for database... (28/30)
2025-11-10T14:20:27.347498073Z [inf]  Waiting for database... (29/30)
2025-11-10T14:20:29.416044770Z [inf]  Waiting for database... (30/30)
2025-11-10T14:20:31.356039810Z [inf]  Clearing caches...
2025-11-10T14:20:31.356044798Z [err]  The environment file is invalid!
2025-11-10T14:20:31.356049464Z [err]  Failed to parse dotenv file. Encountered an invalid name at [// LLM-CHECKPOINT].
2025-11-10T14:20:31.411130074Z [err]  The environment file is invalid!
2025-11-10T14:20:31.411137985Z [err]  Failed to parse dotenv file. Encountered an invalid name at [// LLM-CHECKPOINT].
2025-11-10T14:20:31.510179132Z [err]  The environment file is invalid!
2025-11-10T14:20:31.510185183Z [err]  Failed to parse dotenv file. Encountered an invalid name at [// LLM-CHECKPOINT].
2025-11-10T14:20:31.612945311Z [err]  The environment file is invalid!
2025-11-10T14:20:31.612950090Z [err]  Failed to parse dotenv file. Encountered an invalid name at [// LLM-CHECKPOINT].
2025-11-10T14:20:31.612953826Z [inf]  Running migrations...
2025-11-10T14:20:32.317008057Z [err]  The environment file is invalid!
2025-11-10T14:20:32.317013368Z [err]  Failed to parse dotenv file. Encountered an invalid name at [// LLM-CHECKPOINT].
2025-11-10T14:20:32.317023952Z [inf]  Migrations failed or already applied
2025-11-10T14:20:32.317030593Z [err]  The environment file is invalid!
2025-11-10T14:20:32.317036279Z [err]  Failed to parse dotenv file. Encountered an invalid name at [// LLM-CHECKPOINT].
